S.No.;Kullanim Amaci;Stok No.;"Malzemenin 
Ad?";Malzeme De?i?im Periyodu;"Ana 
Malzemesi";Ana Malzeme Miktar?-y;Araç Ba??na Kullan?m Miktar?-z;Yil Ici Istek Yapma Sayisi-k;"t y?l? ?stek Miktar?-04 istegi
c=b-a";t y?l? ?stek Miktar?-05 istegi-d;t y?l? ?stek Miktar?-06 istegi-e;"t+1 y?l? ?stek Miktar?-04 istegi
i";t+1 y?l? ?stek Miktar?-05 istegi-j;t+1 y?l? ?stek Miktar?-06 istegi-l;"Brl.
?htiyaç Miktar?
a=y*z";Depo Mevcudu-b;"Son ihtiyaç Miktar?
c=(b-a)+(b-?)+(e-j)+l";Birim Fiyati;Kaynak Ihtiyac Miktari
55; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-603-1330 - 2815006031330;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
56; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-066-0199 - 2815000660199;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
57; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-116-2953 - 2815001162953;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
58; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-106-1681 - 2815001061681;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
59; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-010-0217 - 2815000100217;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
60; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-045-6865 - 2815000456865;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
61; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-071-7904 - 2815000717904;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
62; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-124-5386 - 2815001245386;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
63; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-465-1049 - 2815004651049;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
64; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-938-0586 - 2815009380586;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
65; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-999-5355 - 2815009995355;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
66; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-014-3217 - 2815010143217;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
67; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-046-5861 - 2815010465861;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
68; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-189-4851 - 2815001894851;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
69; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-961-1686 - 2815009611686;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
70; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-892-5078 - 2815008925078;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
71; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-150-5002 - 2815011505002;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
72; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-032-0976 - 2815010320976;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
73; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-041-8103 - 2815010418103;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
74; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-101-3055 - 2815011013055;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
75; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-671-4607 - 2815016714607;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
76; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-523-6667 - 2815015236667;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
77; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-524-2133 - 2815015242133;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
